diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
organization edmoid error,so,organization_edmoid,1,141,https://edmo.seadatanet.org/report/141,organization edmoid should be a list of URIs,/github/workspace/logsheets/filtered/sediment_observatory.csv,EMOBONList,False
organization edmoid error,wo,organization_edmoid,1,141,https://edmo.seadatanet.org/report/141,organization edmoid should be a list of URIs,/github/workspace/logsheets/filtered/water_observatory.csv,EMOBONList,False
source_mat_id error,ss,source_mat_id,1,EMOBON___,,source_mat_id should match ^EMOBON_HCMR-1_So___$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
membership violation,ss,comm_samp,1,,,"comm_samp must be in ['micro', 'meio', 'macro', 'blank']",/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
datatype mismatch,so,contact_orcid,1,0000-0003-4392-7159,https://orcid.org/0000-0003-4392-7159,,/github/workspace/logsheets/filtered/sediment_observatory.csv,XSDAnyURI,True
datatype mismatch,so,loc_broad_ocean_mrgid,1,4280,http://marineregions.org/mrgid/4280,,/github/workspace/logsheets/filtered/sediment_observatory.csv,XSDAnyURI,False
datatype mismatch,so,loc_loc_mrgid,1,3339,http://marineregions.org/mrgid/3339,,/github/workspace/logsheets/filtered/sediment_observatory.csv,XSDAnyURI,False
datatype mismatch,so,loc_regional_mrgid,1,3315,http://marineregions.org/mrgid/3315,,/github/workspace/logsheets/filtered/sediment_observatory.csv,XSDAnyURI,False
datatype mismatch,so,organization,1,"Institute of Marine Biology, Biotechnology and Aquaculture (IMBBC) Hellenic Centre for Marine Research (HCMR)",,,/github/workspace/logsheets/filtered/sediment_observatory.csv,EMOBONList,False
datatype mismatch,so,ENA_accession_number_project,1,PRJEB51655,https://www.ebi.ac.uk/ena/browser/view/PRJEB51655,,/github/workspace/logsheets/filtered/sediment_observatory.csv,XSDAnyURI,False
datatype mismatch,so,ENA_accession_number_umbrella,1,PRJEB51688,https://www.ebi.ac.uk/ena/browser/view/PRJEB51688,,/github/workspace/logsheets/filtered/sediment_observatory.csv,XSDAnyURI,False
missing value,ss,ENA_accession_number_sample,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDAnyURI,False
missing value,ss,arr_date_hq,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
missing value,ss,arr_date_seq,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
missing value,ss,collection_date,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
missing value,ss,depth,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,EMOBONList,False
missing value,ss,env_material,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,EMOBONList,False
missing value,ss,investigation_type,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
missing value,ss,long_store,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDBoolean,False
missing value,ss,samp_collect_device,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
missing value,ss,samp_description,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
missing value,ss,samp_size_mass,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDFloat,False
missing value,ss,samp_mat_process,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
missing value,ss,samp_mat_process_dev,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
missing value,ss,samp_store_loc,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
missing value,ss,samp_store_temp,1,,,,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
